City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,port elizabeth,-33.918,25.5701,19.16,86,0,9.26,ZA,1699722280
155,invercargill,-46.4,168.35,14.45,56,72,5.36,NZ,1699722146
156,duong dong,10.2167,103.9667,24.0,94,40,0.51,VN,1699722281
157,ingersoll,43.0334,-80.883,6.57,76,100,1.19,CA,1699722281
158,touros,-5.1989,-35.4608,29.39,54,1,7.18,BR,1699722283
159,nueva concepcion,14.2,-91.3,30.29,67,36,1.79,GT,1699722283
160,trevelin,-43.0858,-71.4639,9.28,52,99,6.24,AR,1699722284
161,ribeira grande,38.5167,-28.7,21.22,88,40,5.81,PT,1699722285
162,crucecita,-28.95,-58.9833,37.59,37,91,4.3,AR,1699722286
163,praia da vitoria,38.7333,-27.0667,22.14,73,20,3.56,PT,1699722287
164,al artawiyah,26.5053,45.3444,22.73,30,2,2.8,SA,1699722287
165,lihue,21.9789,-159.3672,24.77,83,100,5.14,US,1699722288
166,kodiak,57.79,-152.4072,0.73,55,75,14.4,US,1699722288
167,punta arenas,-53.15,-70.9167,5.62,43,96,7.82,CL,1699722289
168,zharkent,44.1628,80.0,8.32,55,77,2.34,KZ,1699722289
169,qusmuryn,52.4503,64.6311,6.66,87,100,4.59,KZ,1699722290
170,alo,7.4178,6.7371,30.36,59,54,1.36,NG,1699722291
171,kirillov,59.863,38.3813,4.43,96,100,2.15,RU,1699722291
172,san julian,21.0167,-102.1667,20.0,60,99,5.76,MX,1699722292
173,ilebo,-4.3167,20.5833,22.36,98,99,1.25,CD,1699722292
174,lincoln city,44.9582,-124.0179,12.06,95,100,2.24,US,1699722293
175,tazacorte,28.629,-17.9293,23.97,78,75,4.12,ES,1699722293
176,stanley,54.868,-1.6985,7.1,90,75,1.03,GB,1699722294
177,noosa heads,-26.3833,153.15,18.95,74,28,1.86,AU,1699722295
178,santos dumont,-21.4567,-43.5525,30.54,33,12,3.04,BR,1699722261
179,ballina,-28.8667,153.5667,17.66,88,18,3.52,AU,1699722297
180,heihe,50.2441,127.4902,-15.68,79,0,4.15,CN,1699722298
181,puerto palomas,31.7667,-107.6167,10.57,65,100,2.48,MX,1699722298
182,brokopondo,4.75,-55.1667,32.83,50,13,1.92,SR,1699722299
183,huilong,31.8111,121.655,12.16,87,100,6.2,CN,1699722300
184,villa regina,-39.1,-67.0667,25.55,15,64,4.47,AR,1699722301
185,lebu,-37.6167,-73.65,10.89,59,100,7.52,CL,1699722302
186,san antonio de pale,-1.4014,5.6325,25.87,85,97,4.91,GQ,1699722303
187,tazovsky,67.4667,78.7,-4.68,95,100,4.33,RU,1699722306
188,pisco,-13.7,-76.2167,21.12,83,100,3.6,PE,1699722306
189,concepcion,-36.827,-73.0498,9.28,82,100,5.02,CL,1699722307
190,pionerskiy,54.9508,20.2275,7.86,88,100,2.35,RU,1699722308
191,qarauyl,48.9451,79.255,3.22,81,100,5.17,KZ,1699722309
192,la gi,10.6667,107.7833,26.28,87,80,5.37,VN,1699722309
193,burang,30.25,81.1667,-3.58,84,40,1.51,CN,1699722310
194,villa ojo de agua,-29.5,-63.6938,31.4,36,0,5.34,AR,1699722311
195,andong,36.5656,128.725,-0.42,65,80,1.69,KR,1699722312
